audio_filename,text,speaking_style,voice,duration_seconds
00010_Umbriel_5d47a4.wav,ඒ ඇතුළේ මහා බැඩවැලේ ඇතුළත ස්ථරය ආහාර ජීර ණ පද්ධතියේ මුළු පද්ධතියේම ඇතුළත ස්ථරයේ තියෙන සෛල ඉතා ඉක්මනින් වර් ධනය වෙනවා,"Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Umbriel,11.691
00011_Schedar_4577c4.wav,මං මැරුණට පස්සේ අපායෙ ආයේ මට ගැලවෙන්න විදිහක් නෑ කියලා ඒ හිත ඒ දෘෂ්ටිය ඒ වචනේ,"Read aloud in a lecture style, urgent and compelling, at a deliberate pace, as if presenting a cooking show.",Schedar,6.091
00012_Alnilam_5d47a4.wav,අලුත් සොයා ගැනීම් ගොඩක් එකතු වෙලා තියෙනවා එහෙනම් අද අපි කතා කරමු,"Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Alnilam,5.091
00013_Orus_81be2f.wav,මහා පරිමාණයෙන් දකින්න පුළුවන් වෙන්නේ. දැන් අපි ඒ සංවහන ක්‍රියාවලිය සිද්ධ වෙන කාලෙට,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Orus,5.611
00014_Charon_81be2f.wav,නිශ්ශංක මොනවද කිව්වේ එක ඇවිල්ලා he wanted some pictures of that event right එයා මට කියපු දේ he wanted some pictures of that event and what happened is,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Charon,8.731
00016_Algieba_272372.wav,විවිධ ආකර්ෂණ බල එවැනි බල සකස් වීමෙන් ඒ දිගු දාමය තව තවත්,"Read aloud poetically, tense and anxious, at a brisk pace, as if narrating a nature documentary.",Algieba,6.051
00017_Alnilam_56c3b6.wav,ඩොනමෝර් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය හරහා ශ්‍රී ලංකාවට සර්වජන ඡන්ද බලය හිමිවීම අතිශයින් වැදගත්,"Read aloud conversationally, confident and assertive, at a slow pace.",Alnilam,10.771
00018_Pulcherrima_81be2f.wav,පුළුවන් තරම් කොන්ඩට වද නොදී තියාගන්න මම try කරනවා. ගොඩක් කට්ටිය කියනවා මගේ කොන්ඩෙ වැවිලාලු. එහෙම අහනවා හරියට,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Pulcherrima,7.451
00023_Umbriel_02c99e.wav,යමක් යමක් බහුලව යෙදේ නම් ඒ අනුව තමයි එයා එතෙන්ට පමුණුවන්නේ. ඉතින් බුදුරජාණන් වහන්සේ,"Read aloud casually, confident and assertive, at a deliberate pace, as if presenting a cooking show.",Umbriel,7.211
00024_Pulcherrima_56c3b6.wav,අම්මලා හැරිලාත් බලනවා ද මන්දා. ඒ ඇයි අත්හැර ගන්න බැරිවීම.,"Read aloud conversationally, confident and assertive, at a slow pace.",Pulcherrima,5.371
00025_Vindemiatrix_5d47a4.wav,මොනාද මෙහෙම තව ටික බලනකොට හිතෙන්නේ,"Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Vindemiatrix,3.171
00027_Zephyr_59770e.wav,දැන් ඔබට තේරෙනවා මං දෙන්න ඕන කරන උත්තරේ මොකද්ද කොයි වගේ පැත්තද මේ අහන්නේ කියලා,"Read aloud in a lecture style, melancholic and wistful, at a flowing pace, as if reading a bedtime story.",Zephyr,7.531
00028_Enceladus_81be2f.wav,කාල ප්‍රමාණය අඩුයි. එතකොට අපිට ඕක දක්වන්න වෙන්නේ කොහොමද ඒක අපිට අනිවාර්යෙන්ම දක්වන්න වෙන්නේ මේ වගේ ෆෝන් එකක ආකාරයෙන්,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Enceladus,8.171
00029_Vindemiatrix_ce0e36.wav,access හදාගන්න actions කොහොමටත් ලංකාවට දෙනවා. ඕගොල්ලන්ට you tube එකෙන් සහ,"Read aloud casually, nostalgic and sentimental, at a brisk pace, as if delivering a TED talk.",Vindemiatrix,6.811
00031_Despina_4577c4.wav,එම ආපදා වළක්වා ගැනීම සඳහා අනුගමනය කළ හැකි ක්‍රියාමාර්ග විස්තර කරන්න,"Read aloud in a lecture style, urgent and compelling, at a deliberate pace, as if presenting a cooking show.",Despina,5.651
00033_Fenrir_5d47a4.wav,එතකොට මහබඩවැලේ අපි නම් වශයෙන් හඳුනාගන්න කොටස් කිහිපයක් තියෙනවා,"Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Fenrir,5.451
00034_Puck_ce0e36.wav,අපේ කතාව තේරුම් ගන්න පහසු වෙන්න අපි හිතමුකො මෙන්න මේ විදිහට තමයි දැන් අපේ neural network එක tokens හදාගත්තෙ කියලා මේ හැම token එකකටම ලැබෙනවා token id එකක්,"Read aloud casually, nostalgic and sentimental, at a brisk pace, as if delivering a TED talk.",Puck,8.171
00035_Schedar_2a20c9.wav,ලංකාවට බ්‍රිතාන්‍ය අධිරාජ්‍යය තුළ dominian තත්ත්වයේ,"Read aloud in a storytelling style, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Schedar,3.171
00036_Kore_81be2f.wav,how do I stay up to date මං කොහොමද AI ත් එක්ක දිගටම අප්ඩේට් වෙලා ඉන්නෙ නැත්නම් මට හැමවෙලෙම බයයි මට මිස් වෙයි කියලා මොකද්ද මං කරන්නේ,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Kore,9.971
00037_Achernar_02c99e.wav,පොඩි එතන ප්‍රශ්නයක් තියෙනවා නේ. ඒ කියන්නේ මෙගොල්ලෝ එක level එක්කට ආවට පස්සේ වැඩේ,"Read aloud casually, confident and assertive, at a deliberate pace, as if presenting a cooking show.",Achernar,4.971
00039_Puck_5d47a4.wav,"ලංකාවේ ඉන්නේ ප්‍රධාන පෙළේ rice මෝල්, හාල් මෝල් හිමියන්. ඔය ගොල්ලන්ගේ නමුත් ගොඩක් වෙලාවට media වල කියවෙන","Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Puck,10.611
00040_Puck_ce0e36.wav,හැබැයි මිතුරනි හිට්ලර් පිළිබඳව කතා කරන්න පුළුවන් කමක් නෑ දෙවෙනි ලෝක යුද්ධය පිළිබඳව කතා කරන්නේ නැතුව,"Read aloud casually, nostalgic and sentimental, at a brisk pace, as if delivering a TED talk.",Puck,7.651
00041_Fenrir_81be2f.wav,ඔය අපි හඳුනාගන්න ප්‍රදේශවල විශාල ප්‍රමාණයක් ජනසංඛ්‍යාව,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Fenrir,4.531
00042_Leda_a7118e.wav,මිනිස්සු කරන්නේ වැඩ. හැබැයි එලියට එක පෙන්නෑ. එළියට single transactions sum-up කරලා තියෙනවා,"Read aloud intimately, warm and welcoming, at a clipped pace.",Leda,6.291
